title,author,,publisher, page_count,,publication_date
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,,New City Press,144,,10/1/1999
Augustine of Hippo: A Biography,Peter R.L. Brown,,University of California Press,576,,11/24/2000
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,,Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN),191,,1/11/1958
Confessions  Books 1-13,Augustine of Hippo/Peter R.L. Brown/Frank Sheed,,Hackett Publ. Co Inc,296,,1/1/1993
Saint Augustine,Garry Wills,,Penguin Books,176,,8/30/2005
Augustine: A Very Short Introduction,Henry Chadwick,,Oxford University Press  USA,144,,6/7/2001
On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1),Augustine of Hippo/Boniface Ramsey/Edmund Hill,,New City Press,540,,5/1/2004
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,,Ecco Press,302,,5/1/2001
Confesiones de un chef,Anthony Bourdain,,Santillana USA Publishing Company,478,,2/1/2003
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,,Harcourt Brace,559,,4/15/1995
Metamorphoses,Ovid/David Raeburn/Denis Feeney,,Penguin,723,,8/3/2004
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,,W. W. Norton  Company,624,,11/17/2003
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,,University of Oklahoma Press,584,,1/15/1998
Ovid’s Metamorphoses: Books 6-10,Ovid/William Scovil Anderson,,University of Oklahoma Press,560,,1/15/1978
Latin Via Ovid: A First Course,Norma Goldman/Jacob E. Nyenhuis,,Wayne State University Press,524,,9/1/1982
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,,Harvard University Press,400,,1/1/1929
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,,University of California Press,451,,1/18/2005
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,,Harvard University Press,499,,1/1/1985
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,,Harvard University Press,496,,1/1/1977
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,,Wayne State University Press,152,,7/1/1995
Tibullus: A Commentary,Michael C.J. Putnam,,University of Oklahoma Press,222,,11/15/1979
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,,Princeton University Press,440,,11/16/1997
Antigone,Sophocles/Reginald Gibbons/Charles Segal,,Oxford University Press,197,,9/1/2007
Antigone,Sophocles/Reginald Gibbons/Charles Segal,,Oxford University Press  USA,208,,6/5/2003
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,,Prentice Hall,640,,8/13/1999
The Iliad,Homer/Robert Fitzgerald,,Everyman,594,,3/19/1992
Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,,University of Chicago Press,345,,11/1/2005
Reading Greek Tragedy,Simon Goldhill,,Cambridge University Press,302,,8/5/1986
Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,,Cambridge University Press,334,,4/4/2002
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,,Cambridge University Press,212,,1/26/1995
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,,Tarcher,408,,5/4/2006
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck/Lee Fukui,,Three Rivers Press (CA),336,,8/12/2003
Them: Adventures with Extremists,Jon Ronson,,Simon  Schuster,336,,1/7/2003
The Men Who Stare at Goats,Jon Ronson,,Simon  Schuster,259,,4/10/2006
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,,W.W. Norton,518,,7/11/2005
Caught Inside: A Surfer's Year on the California Coast,Daniel Duane,,North Point Press,256,,4/10/1997
Into the Wild,Jon Krakauer,,Anchor Books,207,,1/20/1997
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,,Thomas Nelson,256,,4/1/2001
Wild Swans: Three Daughters of China,Jung Chang,,Simon  Schuster,562,,8/12/2003
Wild Fire (John Corey  #4),Nelson DeMille,,Warner Books (NY),519,,11/6/2006
Born to Be Wild,Catherine Coulter,,Jove,354,,7/25/2006
The Call of the Wild,Jack London/Avi,,Scholastic,172,,1/1/2001
Wild About Books,Judy Sierra/Marc Brown,,Alfred A. Knopf Books for Young Readers,40,,8/10/2004
In Web Design for Libraries,Charles P. Rubenstein,,Libraries Unlimited,196,,12/1/2006
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,,Owl Books (Henry Holt),240,,5/1/2002
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,,Pantheon Books (NY),168,,10/1/1978
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,,Penguin,168,,10/29/1998
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,,Penguin,304,,7/30/1998
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,,Penguin Books Ltd,128,,9/7/1995
Pride and Prejudice,Jane Austen,,Oxford University Press,333,,2/11/2004
Pride & Prejudice,Jane Austen/Vivien Jones,,Penguin Books,392,,9/1/2005
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,,Dover Publications,476,,5/5/2005
Pride and Prejudice,Jane Austen/Carol Howard,,Barnes  Noble Classics,392,,9/20/2004
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,,Anchor Books,399,,7/10/2003
Iceland: Land of the Sagas,David  Roberts/Jon Krakauer,,Villard,160,,10/6/1998
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,Anchor Books,368,,10/19/1999
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,,Modern Library,288,,9/4/2001
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,,Farrar  Straus and Giroux (NY),616,,4/18/2006
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,Thomas L. Friedman,,Planeta Publishing,495,,1/1/2006
The Avalanche Handbook,David McClung/Peter Schaerer,,Mountaineers Books,342,,10/12/2006
Avalanche,Arthur J. Roth,,Scholastic,144,,1/1/1989
Little Women,Louisa May Alcott,,Signet Classics,449,,4/6/2004
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,,Sterling,536,,10/1/2004
Little Women,Louisa May Alcott/Paula Danziger,,Scholastic Paperbacks,562,,1/1/2000
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,,Gramercy Books,389,,9/3/2002
Little Women  Little Men  Jo's Boys,Louisa May Alcott/Elaine Showalter,,Library of America,1064,,2/17/2005
Little Women,Louisa May Alcott,,Collector's Library,327,,2/1/2004
A Tale of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,,Simon  Schuster,496,,5/1/2004
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,,Barnes & Noble Classics,409,,7/25/2004
A Tale of Two Cities: Charles Dickens,SparkNotes,,Spark Publishing,96,,1/10/2002
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,,Barnes  Noble Classics,429,,12/1/2003
A Tale of Two Cities,Charles Dickens/Simon Schama,,Everyman's Library,432,,3/18/1993
Den of Thieves,James B. Stewart,,Simon  Schuster,592,,9/1/1992
Den of Thieves (Cat Royal  #3),Julia Golding,,Egmont Books Ltd,416,,1/31/2007
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,,Gramercy,848,,10/2/1993
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,,Modern Library,887,,7/9/2002
David Copperfield,Charles Dickens/Gish Jen,,Signet,928,,2/7/2006
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,,Touchstone,416,,4/21/1994
Charles Dickens,Jane Smiley,,Viking,224,,5/13/2002
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,,Penguin Classics,830,,11/25/1999
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,,Basic Books,176,,9/25/1998
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,,HarperCollins Publishers,407,,1/1/1992
J.K.Rowling,Colleen Sexton,,Lerner Publications,112,,9/1/2005
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,,Arthur A. Levine,240,,11/1/2001
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,,Bloomsbury Academic,96,,9/26/2001
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,,Bloomsbury Publishing,768,,6/23/2006
The Santaroga Barrier,Frank Herbert,,Tor Books,256,,9/16/2002
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,,Tor Books,320,,9/16/2002
The Eyes of Heisenberg,Frank Herbert,,Tor Books,192,,9/16/2002
The Birds (Methuen Drama),Sean O'Brien,,Bloomsbury Methuen Drama,96,,7/22/2002
The Frogs,Aristophanes/B.B. Rogers,,Digireads.com,88,,1/1/2005
Lysistrata,Aristophanes/Jeffrey Henderson,,OUP Oxford,320,,6/21/1990
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,,Cambridge University Press,276,,11/18/2004
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,,Prometheus Books,124,,4/1/1997
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,,Oxford University Press  USA,364,,2/22/1922
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,,Bristol Classical Press,127,,6/1/1991
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,,Library of America,1076,,10/1/1995
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,,Library of America,1199,,10/1/1995
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,,Everyman's Library,1016,,10/15/2002
The High Window (Philip Marlowe  #3),Raymond Chandler,,Vintage Crime/Black Lizard,265,,8/12/1992
The Simple Art of Murder,Raymond Chandler,,Vintage Crime/Black Lizard,384,,9/12/1988
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,,Vintage Crime,231,,7/12/1988
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,,Vintage Crime/Black Lizard,379,,8/12/1988
An Evening of Long Goodbyes,Paul Murray,,Random House Trade Paperbacks,448,,9/13/2005
The Long Goodbye: Memories of My Father,Patti   Davis,,Plume Books,205,,10/1/2005
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,,VIZ Media LLC,196,,10/11/2005
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,,BBC Worldwide,2,,9/20/2004
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,,Viking Books,448,,2/24/2006
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,,Simon  Schuster,588,,6/12/1996
Freedom Evolves,Daniel C. Dennett,,Penguin,368,,1/27/2004
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,,MIT Press,424,,7/13/1981
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,,Basic Books,192,,6/12/1997
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,,Copernicus Books,244,,6/4/1999
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,,MIT Press,212,,11/21/1984
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,,Bantam Books,512,,4/1/1985
The Illustrated A Brief History of Time,Stephen Hawking,,Bantam Books,256,,11/1/1996
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,,Bantam,176,,9/27/2005
The Universe in a Nutshell,Stephen Hawking,,Bantam,216,,11/6/2001
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,,Running Press Book Publishers,1160,,10/4/2005
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,,Basic Books,304,,10/9/1998
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,,W. W. Norton  Company,224,,6/17/2003
Stephen Hawking's Universe,John Boslough,,Avon,160,,6/1/1989
The Nature of Space and Time,Stephen Hawking/Roger Penrose,,Princeton University Press,152,,10/8/2000
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,,ReganBooks,188,,8/16/1996
Falconry & Hawking,Phillip Glasier,,Batsford,352,,2/1/2006
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,,Back Bay Books,859,,6/30/1993
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,,New American Library,192,,2/1/2001
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,,NAL,752,,8/1/1999
The Fountainhead,Ayn Rand/Leonard Peikoff,,Signet Book,704,,9/1/1996
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,,Grand Central Life & Style,624,,11/1/2006
The 3-Hour Diet: On the Go,Jorge Cruise,,William Morrow Paperbacks,192,,10/18/2005
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch,,Broadway Books,400,,4/27/2004
Specimen Days,Michael Cunningham,,Picador USA,336,,4/18/2006
A Home at the End of the World,Michael Cunningham,,Picador,342,,7/1/2004
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,,Little  Brown and Company,277,,1/11/2005
Blink,Ted Dekker,,Thomas Nelson,400,,10/11/2004
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,,MTV Books,112,,10/2/2001
The Complete Novels,Jane Austen/Hugh  Thomson,,Gramercy Books,1103,,9/3/1995
The Jane Austen Book Club,Karen Joy Fowler,,G.P. Putnam's Sons,288,,4/26/2005
Jane Austen: The Complete Novels,Jane Austen,,Gramercy Books,1103,,6/1/1994
Jane Austen's Letters,Jane Austen/Deirdre Le Faye,,Oxford University Press  USA,672,,4/3/1997
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,,Oxford University Press,249,,3/18/2004
Tea with Jane Austen,Kim Wilson/Tom Carpenter,,Jones Books,128,,9/3/2004
The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,,Simon  Schuster Audio,3,,5/1/2006
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,,Cliffs Notes,80,,12/5/2000
Flaubert's Parrot,Julian Barnes,,Vintage,190,,11/27/1990
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert/Francis Steegmuller,,Penguin Books (Penguin Classics),230,,3/30/1996
A Sentimental Education,Gustave Flaubert/Douglas Parmée,,Oxford University Press,464,,5/18/2000
Three Tales,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall,,Penguin Classics,110,,1/27/2005
Sentimental Education,Gustave Flaubert/Robert Baldick/Geoffrey Wall,,Penguin Classics,460,,2/5/2004
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,,University of Chicago Press,632,,1/26/1994
Middlesex,Jeffrey Eugenides,,Picador USA,529,,9/16/2003
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,,Simon & Schuster,916,,9/26/2006
John Adams,David McCullough,,Simon & Schuster Paperbacks,751,,5/22/2001
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,,Amadeus,455,,6/1/2006
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,,Penguin Classics,512,,12/30/2003
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,,W. W. Norton  Company,288,,2/17/2001
The Portable John Adams,John  Adams/John Patrick Diggins,,Penguin Books,533,,6/29/2004
Sex For Dummies,Ruth Westheimer,,For Dummies,432,,12/28/2000
Baby Signing For Dummies,Jennifer Watson,,John Wiley & Sons,257,,10/1/2006
The Feeling Good Handbook,David D. Burns,,Penguin,729,,10/28/1999
On Death and Dying,Elisabeth Kübler-Ross,,Scribner,288,,7/2/1997
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,,Scribner,192,,6/9/1997
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,,McGraw-Hill Humanities/Social Sciences/Languages,664,,2/6/2004
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,,Simple Productions,46,,1/1/2002
The Seven Habits of Highly Effective People,Stephen R. Covey,,Free Press,368,,9/15/1990
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,,Simon  Schuster,192,,1/6/2004
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,,Simon  Schuster,384,,3/21/1994
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,,HJ Kramer,240,,4/13/2006
Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,,HJ Kramer,32,,12/28/1992
It's Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,,Berkley Publishing Group,294,,9/1/2001
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,,Da Capo Press,344,,6/15/2005
Truman,David McCullough,,Simon  Schuster,1120,,6/14/1993
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,,Vintage,320,,9/13/2005
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,,Modern Library,162,,1/13/1994
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,,Ballantine Books,384,,10/31/2006
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,,Fawcett,376,,9/30/2003
Other Voices  Other Rooms,Truman Capote,,Vintage,232,,2/1/1994
In Cold Blood,Truman Capote/Scott Brick,,Random House Audio,15,,1/3/2006
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,,Scribner,288,,9/10/2002
Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,,Grand Central Publishing,200,,9/1/1996
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,,Rutgers University Press,344,,2/1/2000
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,,Scribner,303,,10/10/1997
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,,Library of America,1328,,5/12/1986
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,,Library of America,848,,1/29/2001
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,,Library of America,1137,,4/1/1990
The House of Mirth,Edith Wharton,,Dover Publications,272,,8/6/2002
Below the Root,Zilpha Keatley Snyder/Alton Raible,,Atheneum Books,231,,1/1/1975
The Witches of Worm,Zilpha Keatley Snyder,,Dell Yearling,183,,5/1/1991
The Deeper Meaning of Liff,Douglas Adams/John Lloyd,,Three Rivers Press,192,,4/19/2005
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,,Phoenix Audio,6,,9/30/2005
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,,Mariner Books,502,,6/6/2000
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,,Mariner Books,1680,,9/1/2000
The Languages of Tolkien's Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,,Houghton Mifflin Company,207,,5/28/1980
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,,Mariner Books,1438,,6/1/2005
Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,,Houghton Mifflin Harcourt,127,,11/15/1999
Tandia,Bryce Courtenay,,Penguin Books Australia Ltd.,905,,8/31/1998
Matthew Flinders' Cat,Bryce Courtenay,,Viking,611,,12/31/2002
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,,Penguin Books Australia Ltd.,671,,8/31/2001
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,,Oxford University Press,412,,7/23/1981
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson/Karen Swenson,,Routledge,320,,12/21/2002
Brave Companions: Portraits in History,David McCullough,,Simon Schuster,240,,11/1/1992
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,,Simon  Schuster,445,,5/12/1982
John Adams,David McCullough,,Simon & Schuster,752,,5/1/2001
The Johnstown Flood,David McCullough,,Peter Smith Publisher,302,,1/1/1990
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,,Simon  Schuster,697,,6/1/2004
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,,Signet Book,528,,4/1/1998
The Bone Collector's Son,Paul Yee,,Two Lions,137,,1/1/2004
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,,Punto de Lectura,640,,6/1/2003
Moby Dick,Herman Melville/William Hootkins,,Naxos Audiobooks,25,,9/1/2005
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,,Candlewick Press,192,,9/12/2006
Moby Dick,Herman Melville/William Hootkins,,Penguin Audio,6,,6/16/2005
Moby-Dick,Herman Melville/Carl F. Hovde,,Barnes  Noble Classics,707,,4/1/2003
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,,Routledge,208,,9/18/2003
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,,Oxford University Press  USA,104,,4/16/1998
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,,Inner City Books,156,,4/30/2004
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,,Oxford University Press  USA,102,,4/3/1997
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,,University of Illinois Press,164,,7/1/1993
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,,University Press of Kansas,400,,10/20/1995
Double Tap (Paul Madriani  #8),Steve Martini,,Jove Books,401,,12/27/2005
The List,Steve Martini,,Jove,451,,12/1/1997
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,,HarperTorch,374,,7/30/2002
The Innocents Abroad,Mark Twain/Grover Gardner,,Modern Library,560,,2/11/2003
Teaching English Abroad,Susan  Griffith,,Vacation Work Publications,576,,1/1/2007
Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,,Bristol Classical Press,395,,6/1/1991
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,,Harvard University Press,434,,3/1/2007
Death and the King's Horseman,Wole Soyinka/Simon Gikandi,,W. W. Norton & Company,254,,11/5/2002
The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,,Penguin Books Ltd,104,,3/31/2005
The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,,Simon  Schuster,150,,7/1/2004
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,,Hampton Roads Publishing Company,275,,10/1/1998
The Time Machine,H.G. Wells/Melvin Burgess,,Scholastic Paperbacks,123,,3/1/2004
The Complete Short Stories,H.G. Wells/John R. Hammond,,Orion Publishing,864,,5/1/2001
Selected Stories,H.G. Wells/Ursula K. Le Guin,,Modern Library,432,,7/13/2004
Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,,Penguin Classics,414,,6/28/2005
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,,Everyman's Library,560,,9/26/2006
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,,Crossroad,120,,10/1/1992
Blood Done Sign My Name: A True Story,Timothy B. Tyson,,Broadway Books,368,,5/3/2005
Blindness,José Saramago/Giovanni Pontiero,,Mariner Books,326,,10/4/1999
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,,Harcourt,377,,9/28/1994
All the Names,José Saramago/Margaret Jull Costa,,Mariner Books,245,,10/5/2001
The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,,Mariner Books,64,,10/5/2000
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,,Mariner Books,346,,10/16/1998
The Cave,José Saramago/Margaret Jull Costa,,Mariner Books,307,,10/15/2003
The Stone Raft,José Saramago/Giovanni Pontiero,,Mariner Books,292,,6/14/1996
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,,Vintage Classics,384,,9/17/1998
El hombre duplicado,José Saramago/Pilar del Río,,Punto de Lectura,380,,9/1/2004
Ensayo sobre la lucidez,José Saramago/Pilar del Río,,Punto de Lectura,461,,1/1/2005
La caverna,José Saramago/Pilar del Río,,Punto de Lectura,441,,2/1/2003
The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,,Mariner Books,314,,9/1/1998
Las intermitencias de la muerte,José Saramago/Pilar del Río,,Alfaguara,274,,12/1/2005
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,,Castle Books,902,,10/6/2009
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,,Rupa & Co,127,,1/1/2010
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,,Alfred A.Knopf,228,,6/27/1950
On the Road,Jack Kerouac,,Penguin Books,320,,9/6/2005
On the Road,Jack Kerouac/Ann Charters,,Penguin Books,281,,2/24/2000
De Kooning: An American Master,Mark Stevens/Annalyn Swan,,Knopf Publishing Group,732,,4/4/2006
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,,Schirmer Mosel,83,,9/1/2006
Aké: The Years of Childhood,Wole Soyinka,,Vintage,230,,10/23/1989
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,,Penguin Books,165,,12/28/2004
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,,Teachers College Press,142,,4/29/2004
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,,Oxford University Press  USA,272,,4/1/2000
Marketing Warfare,Al Ries/Jack Trout,,McGraw-Hill Education,216,,12/13/2005
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,,Back Bay Books,301,,1/7/2002
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,,Hachette Books,234,,10/10/2001
